topic,description,difficulty,remark,subfield,geometric_structure_data
De_Moivres_Theorem,"If a complex number is written as z=r(cosθ+i·sinθ), then its nth power is z^n=r^n(cos(nθ)+i·sin(nθ)). This supports computing powers and roots in polar form.",Easy,A key tool for polar-form computation in complex numbers; commonly used for roots of unity and trigonometric expansions.,Complex Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=De_Moivres_Theorem; mode=hypothesized; source=canonical_template; confidence=0.55; steps=12; OBJ_1=axes(complex_plane); P: X1(-3,0,0), X2(3,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=6.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=unit_circle_approx; P: E(1,0,0), N(0,1,0), W(-1,0,0), S(0,-1,0); REL: circle(center=O,r=1.0,approx_by_points=E,N,W,S); OBJ_3=radius_ray; P: Z(cosθ,sinθ,0)[on_unit_circle]; E: OZ(O,Z,L=1.0,type=radius); OBJ_4=formula_box; BOX: C(0,-2.35,0), w=8.6, h=2.0; TEXT: A(0,-2.35,0), align=center, content='z=r(cosθ+i·sinθ) ⇒ z^n=r^n(cos(nθ)+i·sin(nθ))'; OPS: create_axes(O), create_circle(O,r=1.0), create_point(Z,on_circle), create_edge(OZ), create_box(C=0,-2.35,0,w=8.6,h=2.0), place_text(A=0,-2.35,0)."
Cramers_Rule,Cramer's rule solves a square system of linear equations using determinants by expressing each variable as a ratio of determinants.,Easy,Best suited for small systems in theory; emphasizes the role of determinants in solvability and uniqueness.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Cramers_Rule; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=7.8, h=2.0; P: TL(-3.9,1.0,0), TR(3.9,1.0,0), BR(3.9,-1.0,0), BL(-3.9,-1.0,0); E: TOP(TL,TR,L=7.8,type=box_edge), RIGHT(TR,BR,L=2.0,type=box_edge), BOTTOM(BR,BL,L=7.8,type=box_edge), LEFT(BL,TL,L=2.0,type=box_edge); TEXT: A(0,0,0), align=center, content='Solve linear system using determinants (Cramer)'; OPS: create_box(C=0,0,0,w=7.8,h=2.0), place_text(A=0,0,0)."
Angle_of_Rotation,"An angle of rotation measures how far a figure is turned about a fixed point (the center of rotation), typically measured in degrees or radians.",Easy,Used in transformation geometry to describe rotational motion and orientation changes around a center.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Angle_of_Rotation; mode=hypothesized; source=rotation_scene_template; confidence=0.55; steps=9; OBJ_1=rotation_scene; P: C(0,0,0)[center], P1(2,0,0)[start], P2(0,2,0)[end]; E: CP1(C,P1,L=2.0,type=radius), CP2(C,P2,L=2.0,type=radius); REL: rotation(P1,center=C,angle=θ,to=P2), angle(P1,C,P2,value=θ); OBJ_2=formula_box; BOX: C2(0,-2.35,0), w=7.8, h=1.8; TEXT: A2(0,-2.35,0), align=center, content='Angle of rotation θ about center C'; OPS: pt(C,0,0,0), pt(P1,2,0,0), pt(P2,0,2,0), ed(CP1,C,P1), ed(CP2,C,P2), mark_angle(P1,C,P2), create_box(C=0,-2.35,0,w=7.8,h=1.8), place_text(A=0,-2.35,0)."
Triangle_Similarity_Theorem,Two triangles are similar if their corresponding angles are equal and their corresponding side lengths are proportional.,Easy,A basic theorem for scale relationships; widely used for indirect measurement and proportional reasoning in geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Triangle_Similarity_Theorem; mode=hypothesized; source=theorem_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.6, h=2.2; P: TL(-4.3,1.1,0), TR(4.3,1.1,0), BR(4.3,-1.1,0), BL(-4.3,-1.1,0); E: TOP(TL,TR,L=8.6,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=8.6,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT: A(0,0,0), align=center, content='Equal angles + proportional sides ⇒ similar triangles'; OPS: create_box(C=0,0,0,w=8.6,h=2.2), place_text(A=0,0,0)."
Triangle_Congruence_Theorems,"Two triangles are congruent if they satisfy at least one standard condition such as SSS, SAS, ASA, AAS, or HL (for right triangles).",Easy,Core criteria for proving triangles identical in size and shape; fundamental in geometry proofs.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Triangle_Congruence_Theorems; mode=hypothesized; source=theorem_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.8, h=2.4; P: TL(-4.4,1.2,0), TR(4.4,1.2,0), BR(4.4,-1.2,0), BL(-4.4,-1.2,0); E: TOP(TL,TR,L=8.8,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=8.8,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT: A(0,0,0), align=center, content='Congruence: SSS, SAS, ASA, AAS, HL (right)'; OPS: create_box(C=0,0,0,w=8.8,h=2.4), place_text(A=0,0,0)."
Geometric_Sequence,"For a geometric sequence with first term a and common ratio r, the sum of the first n terms is Sₙ = a(1 − rⁿ)/(1 − r), where r ≠ 1.",Easy,Standard formula in sequences and series; frequently applied in growth/decay modeling and financial mathematics.,Sequences and Series,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Geometric_Sequence; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.6, h=2.2; P: TL(-4.3,1.1,0), TR(4.3,1.1,0), BR(4.3,-1.1,0), BL(-4.3,-1.1,0); E: TOP(TL,TR,L=8.6,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=8.6,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT: A(0,0,0), align=center, content='S_n=a(1-r^n)/(1-r), r≠1'; OPS: create_box(C=0,0,0,w=8.6,h=2.2), place_text(A=0,0,0)."
Arithmetic_Sequence,"For an arithmetic sequence with first term a and common difference d, the sum of the first n terms is Sₙ = (n/2)[2a + (n−1)d].",Easy,A basic sequence-sum formula; commonly used for evenly spaced patterns and linear growth problems.,Sequences and Series,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Arithmetic_Sequence; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.6, h=2.2; P: TL(-4.3,1.1,0), TR(4.3,1.1,0), BR(4.3,-1.1,0), BL(-4.3,-1.1,0); E: TOP(TL,TR,L=8.6,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=8.6,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT: A(0,0,0), align=center, content='S_n=(n/2)[2a+(n−1)d]'; OPS: create_box(C=0,0,0,w=8.6,h=2.2), place_text(A=0,0,0)."
Permutations,A permutation is an ordered arrangement of elements; different orders of the same elements count as different permutations.,Easy,A fundamental counting concept in combinatorics; forms the basis for factorial-based counting methods.,Combinatorics,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Permutations; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=7.8, h=2.0; P: TL(-3.9,1.0,0), TR(3.9,1.0,0), BR(3.9,-1.0,0), BL(-3.9,-1.0,0); E: TOP(TL,TR,L=7.8,type=box_edge), RIGHT(TR,BR,L=2.0,type=box_edge), BOTTOM(BR,BL,L=7.8,type=box_edge), LEFT(BL,TL,L=2.0,type=box_edge); TEXT: A(0,0,0), align=center, content='Permutation: ordered arrangement of elements'; OPS: create_box(C=0,0,0,w=7.8,h=2.0), place_text(A=0,0,0)."
Directrix,"A directrix is a fixed line used to define a conic. For a parabola, points satisfy dist(P,focus) = dist(P,directrix).",Easy,A key geometric component in conic definitions; commonly paired with the focus to characterize parabolas.,Conic Sections,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Directrix; mode=hypothesized; source=conic_scene_template; confidence=0.50; steps=10; OBJ_1=axes(plane); P: X1(-3,0,0), X2(3,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=6.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=directrix_line; P: D1(-2,-2.5,0), D2(-2,2.5,0); E: DLINE(D1,D2,L=5.0,type=line); OBJ_3=focus_point; P: F(1,0,0); OBJ_4=formula_box; BOX: C(0,-2.35,0), w=9.2, h=2.2; TEXT: A(0,-2.35,0), align=center, content='Parabola: dist(P,F)=dist(P,directrix)'; OPS: create_axes(O), create_edge(DLINE,D1,D2), pt(F,1,0,0), create_box(C=0,-2.35,0,w=9.2,h=2.2), place_text(A=0,-2.35,0)."
Eccentricity,"Eccentricity e is a nonnegative number describing a conic's shape: e=0 for a circle, 0<e<1 for an ellipse, e=1 for a parabola, and e>1 for a hyperbola.",Easy,A concise parameter that classifies conic sections; frequently used in analytic geometry and orbital mechanics contexts.,Conic Sections,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Eccentricity; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.8, h=2.4; P: TL(-4.4,1.2,0), TR(4.4,1.2,0), BR(4.4,-1.2,0), BL(-4.4,-1.2,0); E: TOP(TL,TR,L=8.8,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=8.8,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT: A(0,0,0), align=center, content='Eccentricity e≥0: circle 0, ellipse (0,1), parabola 1, hyperbola >1'; OPS: create_box(C=0,0,0,w=8.8,h=2.4), place_text(A=0,0,0)."
Area_of_a_Rectangle,The area of a rectangle is equal to its length times its width: A = l × w.,Easy,Basic area formula in plane geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Area_of_a_Rectangle; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.6,h=2.0; TEXT:A(0,0,0),'A=l×w'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Area_of_a_Triangle,The area of a triangle is A = 1/2 × base × height.,Easy,Fundamental triangle area formula.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Area_of_a_Triangle; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'A=1/2·b·h'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Area_of_a_Parallelogram,The area of a parallelogram equals base times height: A = b × h.,Easy,Equivalent to rectangle area with same base and height.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Area_of_a_Parallelogram; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.2,h=2.0; TEXT:A(0,0,0),'A=b×h'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Area_of_a_Trapezoid,The area of a trapezoid is A = 1/2 × (a+b) × h.,Easy,Average of parallel sides times height.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Area_of_a_Trapezoid; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.4,h=2.1; TEXT:A(0,0,0),'A=1/2(a+b)h'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Perimeter_of_a_Rectangle,The perimeter of a rectangle is P = 2(l + w).,Easy,Basic perimeter rule.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Perimeter_of_a_Rectangle; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'P=2(l+w)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Perimeter_of_a_Triangle,The perimeter of a triangle equals the sum of its three side lengths.,Easy,Basic polygon perimeter concept.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Perimeter_of_a_Triangle; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.0,h=2.0; TEXT:A(0,0,0),'P=a+b+c'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Volume_of_a_Cube,The volume of a cube with side length a is V = a³.,Easy,Basic 3D geometry formula.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Volume_of_a_Cube; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.2,h=2.0; TEXT:A(0,0,0),'V=a³'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Volume_of_a_Rectangular_Prism,The volume of a rectangular prism is V = l × w × h.,Easy,Extension of area into 3D.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Volume_of_a_Rectangular_Prism; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.6,h=2.0; TEXT:A(0,0,0),'V=lwh'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Volume_of_a_Cylinder,The volume of a cylinder is V = πr²h.,Easy,Area of base times height.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Volume_of_a_Cylinder; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.6,h=2.0; TEXT:A(0,0,0),'V=πr²h'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Volume_of_a_Cone,The volume of a cone is V = 1/3 πr²h.,Easy,One-third of corresponding cylinder volume.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Volume_of_a_Cone; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'V=1/3πr²h'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Volume_of_a_Sphere,The volume of a sphere is V = 4/3 πr³.,Easy,Standard sphere volume formula.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Volume_of_a_Sphere; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'V=4/3πr³'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Surface_Area_of_a_Cube,The surface area of a cube is SA = 6a².,Easy,Six congruent square faces.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Surface_Area_of_a_Cube; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.4,h=2.0; TEXT:A(0,0,0),'SA=6a²'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Surface_Area_of_a_Cylinder,The total surface area of a cylinder is SA = 2πr² + 2πrh.,Easy,"Includes top, bottom, and side area.",Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Surface_Area_of_a_Cylinder; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.6,h=2.2; TEXT:A(0,0,0),'SA=2πr²+2πrh'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Complementary_Angles,Two angles are complementary if their sum is 90 degrees.,Easy,Basic angle relationship.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Complementary_Angles; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.0,h=2.0; TEXT:A(0,0,0),'θ₁+θ₂=90°'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Supplementary_Angles,Two angles are supplementary if their sum is 180 degrees.,Easy,Frequently used in line-angle problems.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Supplementary_Angles; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.2,h=2.0; TEXT:A(0,0,0),'θ₁+θ₂=180°'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Vertical_Angles_Theorem,Vertical angles formed by two intersecting lines are equal.,Easy,Essential geometry property.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Vertical_Angles_Theorem; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.4,h=2.0; TEXT:A(0,0,0),'Vertical angles are equal'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Parallel_Lines_Angles,"When a transversal cuts parallel lines, alternate interior angles are equal.",Easy,Key theorem in Euclidean geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Parallel_Lines_Angles; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.2,h=2.2; TEXT:A(0,0,0),'Alternate interior angles are equal'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Exponent_Zero_Rule,Any nonzero number raised to the power of zero equals 1.,Easy,Basic exponent law.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Exponent_Zero_Rule; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.6,h=2.0; TEXT:A(0,0,0),'a⁰=1 (a≠0)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Exponent_Negative_Rule,Negative exponents indicate reciprocals: a^-n = 1/a^n.,Easy,Used in algebra simplification.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Exponent_Negative_Rule; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.0,h=2.0; TEXT:A(0,0,0),'a⁻ⁿ=1/aⁿ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Square_Root_Property,"If x² = a, then x = ±√a.",Easy,Basic solving method for quadratic equations.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Square_Root_Property; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'x²=a ⇒ x=±√a'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
